1-Specifity,DeepHit:0.952(95%CI:0.885-0.997),NMTLR:1.000(95%CI:1.000-1.000),RSF:0.980(95%CI:0.938-1.000),FSSVM:0.974(95%CI:0.922-1.000),CoxPH:0.606(95%CI:0.303-0.885),GBSA:1.000(95%CI:1.000-1.000),Super Learner:0.966(95%CI:0.888-1.000)
0.0,0.0,,,,,,
0.0,0.0454545454545454,,,,,,
0.0,0.7272727272727273,,,,,,
0.125,0.7272727272727273,,,,,,
0.125,0.8636363636363636,,,,,,
0.1875,0.8636363636363636,,,,,,
0.1875,0.9545454545454546,,,,,,
0.3125,0.9545454545454546,,,,,,
0.3125,1.0,,,,,,
1.0,1.0,,,,,,
0.0,,0.0,,,,,
0.0,,0.0454545454545454,,,,,
0.0,,1.0,,,,,
1.0,,1.0,,,,,
0.0,,,0.0,,,,
0.0,,,0.0454545454545454,,,,
0.0,,,0.8636363636363636,,,,
0.125,,,0.8636363636363636,,,,
0.125,,,0.9545454545454546,,,,
0.1875,,,0.9545454545454546,,,,
0.1875,,,1.0,,,,
1.0,,,1.0,,,,
0.0,,,,0.0,,,
0.0,,,,0.0454545454545454,,,
0.0,,,,0.8181818181818182,,,
0.0625,,,,0.8181818181818182,,,
0.0625,,,,0.9545454545454546,,,
0.375,,,,0.9545454545454546,,,
0.375,,,,1.0,,,
1.0,,,,1.0,,,
0.0,,,,,0.0,,
0.0,,,,,0.0909090909090909,,
0.0,,,,,0.2727272727272727,,
0.1666666666666666,,,,,0.2727272727272727,,
0.1666666666666666,,,,,0.4545454545454545,,
0.3333333333333333,,,,,0.4545454545454545,,
0.3333333333333333,,,,,0.6363636363636364,,
0.6666666666666666,,,,,0.6363636363636364,,
0.6666666666666666,,,,,0.7272727272727273,,
0.8333333333333334,,,,,0.7272727272727273,,
0.8333333333333334,,,,,0.9090909090909092,,
1.0,,,,,0.9090909090909092,,
1.0,,,,,1.0,,
0.0,,,,,,0.0,
0.0,,,,,,0.0454545454545454,
0.0,,,,,,1.0,
0.5,,,,,,1.0,
0.625,,,,,,1.0,
0.6875,,,,,,1.0,
0.8125,,,,,,1.0,
0.875,,,,,,1.0,
1.0,,,,,,1.0,
0.0,,,,,,,0.0
0.0,,,,,,,0.1363636363636363
0.0,,,,,,,0.5454545454545454
0.0625,,,,,,,0.5454545454545454
0.0625,,,,,,,0.9090909090909092
0.125,,,,,,,0.9090909090909092
0.125,,,,,,,1.0
1.0,,,,,,,1.0
